SearchExecutedJournalEvent	"Выполнен поиск"
ObjectViewedJournalEvent	"Просмотрен объект"
SearchQueryExpandedEvent	"Выполнено расширение запроса"
TrainingMaterialAddedEvent	"Добавлен обучающий материал"
TrainingMaterialStatsChangedEvent	"Изменён статус обучающего материала"
TrainingMaterialDeletedEvent	"Обучающий материал удалён"
TrainingMaterialsListViewedEvent	"Просмотрен список обучающих материалов"
RecommendationCreateEvent	"Порекомендован документ"
RecommendationUpdateEvent	"Рекомендация обновлена"
RecommendationAcceptEvent	"Рекомендация принята"
RecommendationRefusedEvent	"Рекомендация отклонена"
RecommendationDeletedEvent	"Рекомендация удалена"
CreatedRecommendationsViewedEvent	"Просмотрен список созданных рекомендаций"
ProfileUpdatedEvent	"Профиль обновлён"
ProfileCreatedEvent	"Профиль создан"
ProfileListViewedEvent	"Просмотрен список пользователей"
UserStateChangedEvent	"Состояние пользователя изменено"
UserSignedUpEvent	"Пользователь зарегистрирован"
PasswordChangedEvent	"Пароль изменён"
EmployeeCreatedEvent	"Сотрудник создан"
EmployeeUpdatedEvent	"Сотрудник обновлён"
ProfileRemovedEvent	"Профиль удалён"
PermissionGrantedEvent	"Пользователю добавлена роль"
PermissionRevokedEvent	"Пользователь лишён роли"
SignedInEvent	"Пользователь зашел в систему"
SignedOutEvent	"Пользователь вышел из системы"
DocumentCreatedEvent	"Добавлен документ"
DocumentUpdatedEvent	"Изменён документ"
DocumentDeletedEvent	"Удалён документ"
UserSkillAddedEvent	"Пользователю добавлен навык"
UserSkillRemovedEvent	"У пользователя удалён навык"
UserCompetenceAddedEvent	"Пользователю добавлена компетенция"
UserCompetenceRemovedEvent	"У пользователя удалена компетенция"
UserCompetenceUpdatedEvent	"У пользователя обновлена оценка компетенции"
CatalogCreatedEvent	"Создан справочник"
CatalogUpdatedEvent	"Изменён справочник"
CatalogDeletedEvent	"Удалён справочник"
CatalogItemCreatedEvent	"Создан элемент справочника"
CatalogItemUpdatedEvent	"Изменён элемент справочника"
CatalogItemDeletedEvent	"Удалён элемент справочника"
CatalogListViewedEvent	"Просмотрен список справочников"
CatalogViewedEvent	"Просмотрен справочник"
ProviderCreatedEvent	"Создан источник"
ProviderViewEvent	"Просмотрен источник"
ProviderUpdatedEvent	"Изменён источник"
ProviderDeletedEvent	"Деактивирован источник"
events.entity.ProviderListViewedEvent	"Просмотрены поставщики"
TokenCreatedEvent	"Создан токен"
TokenViewEvent	"Просмотрен токен"
TokenUpdatedEvent	"Изменён токен"
TokenDeletedEvent	"Деактивирован токен"
TokenListViewedEvent	"Просмотрены токены поставщика"
StorageSourcesCreatedEvent	"Созданы SAS-источники"
StorageSourceViewedEvent	"Просмотрен SAS-источник"
StorageSourceUpdatedEvent	"Изменён SAS-источник"
StorageSourcesDeletedEvent	"Удален SAS-источник"
StorageSourceListViewedEvent	"Просмотрены SAS-источники поставщика"
ProviderTabListViewedEvent	"Просмотрены вкладки источника"
ProviderTabsChangedEvent	"Изменено отображение источника на вкладках"
SearchTabListViewedEvent	"Просмотрен список вкладок"
SearchTabCreatedEvent	"Создана вкладка"
SearchTabUpdatedEvent	"Изменена вкладка"
SearchTabDeletedEvent	"Удалена вкладка"
SearchTabFiltersViewedEvent	"Просмотрен список поисковых фильтров по вкладке"
SearchTabFilterAddedEvent	"Добавлены поисковые фильтры для вкладки"
SearchTabFilterRemovedEvent	"Удалены поисковые фильтры для вкладки	"
NotificationListViewedEvent	"Просмотрен список уведомлений"
NotificationStatusChangedEvent	"Изменён статус уведомления"
OrganizationCreatedEvent	"Добавлена организация"
OrganizationUpdatedEvent	"Изменена организация"
OrganizationDeletedEvent	"Удалена организация"
OrganizationListViewedEvent	"Просмотрен список организаций"
JobRunEvent	"Запущено задание"
JobListViewedEvent	"Просмотрен список заданий"
JobSchedulerCreatedEvent	"Добавлен планировщик работ"
JobSchedulerViewedEvent	"Просмотрен планировщик работ"
JobSchedulerUpdatedEvent	"Изменен планировщик работ"
JobSchedulerDeletedEvent	"Удален планировщик работ"
JobSchedulerListViewedEvent	"Просмотрен список планировщиков работ"
BookmarkAddedEvent	"Документ добавлен в закладки"
BookmarkRemovedEvent	"Документ удалён из закладок"
BookmarksViewedEvent	"Просмотрен список закладок"
JournalDownloaded	"Выполнена выгрузка журнала действий"
RedirectedFromExternalWithUtm	"Пользователь перенаправлен с внешнего ресурса"
UserRoleAssignation	"Изменён список ролей пользователя"
UserStartActivity	"Пользователь активен"
SignInFailed	"Неудачный вход в систему"
FeedbackSent	"Обратная связь"
ErrorFound	"Сообщение об ошибке"
RoleMappingRulesUpdated	"Изменено правило назначения роли"
AccessDeniedEvent	"Отказано в доступе"
CategoryCreatedEvent	"Создана категория"
CategoryKeywordsUpdatedEvent	"Редактирование категории: изменен перечень КС"
CategoryTitleUpdatedEvent	"Редактирование категории: изменено название"
CategoryChildrenMovedEvent	"Перемещение всех подкатегорий в другую категорию"
CategoryParentUpdatedEvent	"Редактирование категории: изменена связь с родительской"
CategoryDeletedEvent	"Удаление категории"
CategorizationRulesUpdatedEvent	"Изменены правила категории"
CategorizationAcceptedEvent	"Подтверждено распределение документа в категорию"
CategorizationDeclinedEvent	"Отменено распределение документа в категорию"
DocumentCategoryChanged	"Отменено распределение документа в категорию"
NewsCreated	"Создано уведомление"
NewsUpdated	"Уведомление изменено"
NewsDeleted	"Уведомление удалено"
NewsSentAsNotification	"Опубликовано уведомление"
TagGroupCreated	"Создана группа тегов"
TagWithRulesAdded	"Заданы правила тегирования"
TaggingStarted	"Запущено тегирование"
SuggestionsRequested	"Выполнен запрос автоподсказок"
SearchRequestCompressed	"Создана короткая ссылка для поискового запроса"
SearchRequestReadFromAlias	"Прочитан поисковый запрос по короткой ссылке"
SimilarDocumentsRequested	"Выполнен запрос похожих документов"
LookingForDocumentByOriginals	"Выполнен поиск документа по натуральному ключу"
DocumentSemanticInfoRequested	"Выполнен запрос ключевых слов и аннотации документа"
DocumentsSemanticInfoRequested	"Выполнен запрос ключевых слов и аннотаций документов"
SimilarDocumentsRequested	"Выполнен запрос похожих документов"
LookingForDocumentByOriginals	"Выполнен поиск документа по натуральному ключу"
DocumentSemanticInfoRequested	"Выполнен запрос ключевых слов и аннотации документа"
DocumentsSemanticInfoRequested	"Выполнен запрос ключевых слов и аннотаций документов"
ConceptSchemeCreatedEvent	"Создана концептуальная схема"
ConceptSchemeDeletedEvent	"Удалена концептуальная схема"
ConceptSchemeExportedEvent	"Экспортированы концептуальные схемы"
ConceptSchemeImportedEvent	"Импортированы концептуальные схемы"
ConceptPropertyUpdatedEvent	"Задано свойство концепта"
ConceptPropertyDeletedEvent	"Удалено свойство концепта"
ConceptsAddedIntoSchemeEvent	"Добавлены концепты в схему"
ConceptCreatedEvent	"Создан концепт"
ConceptCreatedEvent	"Удалён концепт"
NutchSourceCreatedEvent	"Создан источник краулера"
NutchSourceDeletedEvent	"Удален источник краулера"
NutchSourceUpdatedEvent	"Обновлен источник краулера"
NutchSourceViewedEvent	"Просмотрен источник краулера"
NutchServerCreatedEvent	"Создан сервер краулера"
NutchServerViewedEvent	"Просмотрен сервер краулера"
NutchServerUpdatedEvent	"Обновлен сервер краулера"
NutchServerStoppedEvent	"Остановлен сервер краулера"
NutchServerSourcesImportedEvent	"Импортированы источники сервера краулера"
NutchServerSourcesExportedEvent	"Экспортированы источники сервера краулера"
NutchServerListViewedEvent	"Просмотрены сервера краулера"
NutchServerListViewedEvent	"Просмотрены сервера краулера"
services.tab.SearchTabJournalEvents.ListViewed	"Просмотрен список вкладок"
SearchTabJournalEventsCreated	"Создана вкладка"
services.tab.SearchTabJournalEventsUpdated	"Обновлена вкладка"
services.tab.SearchTabJournalEventsDeleted	"Удалена вкладка"
services.tab.SearchTabJournalEventsViewed	"Просмотрена вкладка"
